feature,ratio_mean,ratio_std,n_windows
TB3MS_lag6,1.0365369237535198,0.00836176603059306,3
M2SL_lag6,1.0079421485226912,0.0101011084296776,3
RPI_lag6,1.0060687498113188,0.0047056216304295325,3
CPIAUCSL_lag6,1.004665064245449,0.0007565073238348528,3
OILPRICEX_lag6,1.001856778081242,0.0007380524713326756,3
SP500_lag6,0.9982815996322415,0.010696068093019602,3
BUSLOANS_lag6,0.9982135488041748,0.005021978967636563,3
INDPRO_lag6,0.9837500517372967,0.01138026289533357,3
DPCERA3M086SBEA_lag6,0.9815305663701949,0.010943883701397492,3
UNRATE_lag6,0.95009822080261,0.026352682823193543,3
USREC_lag6,0.8925154536500611,0.12881352167099497,3
