feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag6,0.27574793777905415,0.005854969991854413,4
M2SL_lag6,0.2366868464498922,0.034962631525439165,4
DPCERA3M086SBEA_lag6,0.17514759345694156,0.013120294415708942,4
BUSLOANS_lag6,0.11384174624072246,0.004951452699473188,4
CPIAUCSL_lag6,0.08874294560448884,0.013209896123893854,4
SP500_lag6,0.037978807350944374,0.001257338177625681,4
RPI_lag6,0.03377357327132453,0.027712240109759558,4
USREC_lag6,0.02341806756175103,0.0018980411903620931,4
UNRATE_lag6,0.0067211996802505085,0.0002999142946408971,4
OILPRICEX_lag6,0.005207770159228232,0.002301739677712965,4
TB3MS_lag6,0.002733512445402034,0.0002471254065368431,4
