feature,shap_share_mean,shap_share_std,n_windows
SP500_lag12,0.23267134340568046,0.05212303443451724,11
INDPRO_lag12,0.16483567613319672,0.03931692425836356,11
DPCERA3M086SBEA_lag12,0.14265414379375294,0.052285700503067724,11
USREC_lag12,0.121167836820933,0.1618736920184064,11
TB3MS_lag12,0.09701804807743404,0.05345916548128088,11
BUSLOANS_lag12,0.06898530442988325,0.044103647854392414,11
OILPRICEX_lag12,0.058967836435180554,0.03612848549187592,11
CPIAUCSL_lag12,0.055433137510426826,0.08160998456380428,11
M2SL_lag12,0.02967912152836558,0.02102438953633198,11
RPI_lag12,0.028587551865146596,0.021076018451848852,11
