feature,shap_share_mean,shap_share_std,n_windows
CPIAUCSL_lag36,0.4350363987175293,0.0307021796899669,4
RPI_lag36,0.1998655027242828,0.020258737902261563,4
M2SL_lag36,0.09742751620335094,0.03930007828221265,4
DPCERA3M086SBEA_lag36,0.09627425265880642,0.021971910037847684,4
BUSLOANS_lag36,0.07271176164588616,0.023075011143457093,4
INDPRO_lag36,0.05667384364486875,0.016057033646646547,4
SP500_lag36,0.017915961950158713,0.004353303099634662,4
USREC_lag36,0.013737820547771827,0.0028749610552666204,4
UNRATE_lag36,0.005146488961278381,0.0006960035763622879,4
OILPRICEX_lag36,0.0034944147740819434,0.0027401698181079687,4
TB3MS_lag36,0.0017160381719847503,0.0006979755730135161,4
