feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag1,0.2889823721993127,0.09458381520650919,12
CPIAUCSL_lag1,0.17598533880044007,0.06827914686219824,12
DPCERA3M086SBEA_lag1,0.170339354405412,0.04737036405993154,12
RPI_lag1,0.12095083072565604,0.08667628208697349,12
BUSLOANS_lag1,0.08747262575804658,0.02788835481863994,12
UNRATE_lag1,0.07521654401926318,0.023351721933039284,12
M2SL_lag1,0.0489197246640907,0.03936391236759618,12
USREC_lag1,0.021206894889171737,0.00525592865986752,12
SP500_lag1,0.006179542078616391,0.006169654293451249,12
OILPRICEX_lag1,0.0024605289428420267,0.002417191800267236,12
TB3MS_lag1,0.0022862435171485686,0.0006696880254928236,12
