feature,shap_share_mean,shap_share_std,n_windows
USREC_lag12,0.4054187486154407,0.2015237556084931,7
SP500_lag12,0.2773603728679914,0.1357453071936603,7
DPCERA3M086SBEA_lag12,0.10402860980961945,0.1498112269361746,7
TB3MS_lag12,0.07144151476081392,0.058392482372410306,7
INDPRO_lag12,0.06289142862414944,0.05147349893055979,7
RPI_lag12,0.039736933948696644,0.037680683050968555,7
BUSLOANS_lag12,0.026786096265912662,0.0258712981595852,7
OILPRICEX_lag12,0.0072637777764670165,0.003898588470164409,7
M2SL_lag12,0.0028647814768119296,0.0013231269012608968,7
CPIAUCSL_lag12,0.00220773585409685,0.0017100667851006495,7
