feature,ratio_mean,ratio_std,n_windows
UNRATE_lag1,1.167128951775629,0.019183094767575088,3
TB3MS_lag1,1.0009795475981562,0.0008367586183402278,3
RPI_lag1,1.0008736713472124,0.0013102753134134747,3
OILPRICEX_lag1,1.0000543992881232,0.0002579929869615921,3
BUSLOANS_lag1,0.9999716871957585,0.0006199831654930349,3
INDPRO_lag1,0.9999635193000266,0.0017895902507766325,3
M2SL_lag1,0.9999307152116902,7.00279713927195e-05,3
CPIAUCSL_lag1,0.9998468407020565,0.0004516989321761382,3
DPCERA3M086SBEA_lag1,0.9991338384751053,0.0009031791952421596,3
SP500_lag1,0.9986453424102476,0.00046254963409157453,3
USREC_lag1,0.9845127286441698,0.005094339963288902,3
