feature,shap_share_mean,shap_share_std,n_windows
UNRATE_lag1,0.35364467204104205,0.267281896139409,11
INDPRO_lag1,0.22962530397585967,0.16739464547708227,11
USREC_lag1,0.10966726780295163,0.08323732946861806,11
DPCERA3M086SBEA_lag1,0.09090981503887283,0.07051695545546215,11
BUSLOANS_lag1,0.07671691963353203,0.05174434312172413,11
CPIAUCSL_lag1,0.06017552329329557,0.0715208998036211,11
RPI_lag1,0.031068064484393112,0.04041439006069863,11
M2SL_lag1,0.01806684534283448,0.021278517948747407,11
SP500_lag1,0.012904277881615326,0.014621502457114695,11
TB3MS_lag1,0.010205770654708027,0.017560589780001974,11
OILPRICEX_lag1,0.007015539850895269,0.008934271443164943,11
