feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0306229060868084,0.017854513016642534,3
INDPRO_lag12,1.0065159792922496,0.006411559548928985,3
OILPRICEX_lag12,1.0037046038830642,0.0033677870245197605,3
BUSLOANS_lag12,1.0036589699133858,0.003536719369792279,3
M2SL_lag12,1.001151392682832,0.0011401003081751742,3
CPIAUCSL_lag12,1.0011175931598457,0.0010859403946121475,3
DPCERA3M086SBEA_lag12,0.9790464287715,0.01626410973800296,3
RPI_lag12,0.9713050966097393,0.015904662995303485,3
SP500_lag12,0.9490736864169801,0.007068038421579608,3
USREC_lag12,0.9258145443856306,0.056387216395483615,3
