feature,shap_share_mean,shap_share_std,n_windows
RPI_lag1,0.3475233961139783,0.10908301038610044,12
INDPRO_lag1,0.21824971930714476,0.047606910843219705,12
BUSLOANS_lag1,0.10151049035128475,0.021702506868147484,12
CPIAUCSL_lag1,0.09432768130685915,0.02818965988265193,12
DPCERA3M086SBEA_lag1,0.09231215302294081,0.10063989565521674,12
SP500_lag1,0.06389544471693247,0.020014519697472297,12
M2SL_lag1,0.04866641002927239,0.03523318652955893,12
USREC_lag1,0.029887990627997425,0.0054836039846563695,12
OILPRICEX_lag1,0.003178768677669818,0.0013020138433973768,12
TB3MS_lag1,0.0004479458459201997,0.0004516470189728897,12
