feature,shap_share_mean,shap_share_std,n_windows
TB3MS_lag1,0.1618672586427857,0.05767921606583773,7
SP500_lag1,0.15627045454660174,0.02393850304355117,7
INDPRO_lag1,0.151692754904826,0.08428644450048507,7
M2SL_lag1,0.14295290488758863,0.06567848296933479,7
RPI_lag1,0.1068498319924529,0.01806792729799272,7
USREC_lag1,0.09408679557087989,0.08650136137314612,7
OILPRICEX_lag1,0.06782931321583659,0.04032925680651134,7
CPIAUCSL_lag1,0.061826156480972526,0.036185993823476266,7
BUSLOANS_lag1,0.03477947526728015,0.025517980605123475,7
DPCERA3M086SBEA_lag1,0.021845054490775864,0.01586238792217263,7
