feature,ratio_mean,ratio_std,n_windows
UNRATE_lag12,1.0327819303627332,0.013477053645706545,3
TB3MS_lag12,1.0209370566126705,0.009958172310914802,3
OILPRICEX_lag12,1.0061826030815924,0.0017305766875187153,3
BUSLOANS_lag12,1.0039008488175276,0.002855114156865685,3
INDPRO_lag12,1.0023358116601984,0.015079383159747247,3
M2SL_lag12,0.9998082272850314,0.0008013432430948039,3
CPIAUCSL_lag12,0.9997572783706904,0.001158380237038137,3
DPCERA3M086SBEA_lag12,0.978809244891948,0.019969233034748807,3
RPI_lag12,0.9581837733350375,0.025307341248297283,3
SP500_lag12,0.9283072832447568,0.031265840947580816,3
USREC_lag12,0.895704165237963,0.08386317674181669,3
