feature,shap_share_mean,shap_share_std,n_windows
SP500_lag12,0.27562577611202366,0.0823920333172962,4
USREC_lag12,0.2630759538805137,0.18554119730681418,4
DPCERA3M086SBEA_lag12,0.12320188432564863,0.07861742047463609,4
INDPRO_lag12,0.11944831154954515,0.06337403496854928,4
RPI_lag12,0.08128655683459445,0.04809722597680688,4
BUSLOANS_lag12,0.05446247868808744,0.032181411878648196,4
TB3MS_lag12,0.03089937574789863,0.022433352178197197,4
UNRATE_lag12,0.02509842757444582,0.01965498318584069,4
OILPRICEX_lag12,0.01290757360448549,0.008314143797321656,4
CPIAUCSL_lag12,0.007526576310066488,0.006097088262087007,4
M2SL_lag12,0.006467085372690555,0.007714412465857955,4
