feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag6,0.2882347415304989,0.021661825906113305,4
M2SL_lag6,0.21958285876239206,0.02827288012654797,4
CPIAUCSL_lag6,0.1263922961623387,0.01711869586775078,4
BUSLOANS_lag6,0.12479642246286766,0.004599222267489985,4
DPCERA3M086SBEA_lag6,0.1198991590424572,0.024116745107637727,4
RPI_lag6,0.07692598064171424,0.03614141289887619,4
USREC_lag6,0.028448331775491137,0.0012337276530992505,4
SP500_lag6,0.009235838564014961,0.00039402631596333233,4
OILPRICEX_lag6,0.003919273205538231,0.002479034439047839,4
TB3MS_lag6,0.0025650978526869307,0.0001731910941740818,4
