feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.39372382490723773,0.06222089569637593,7
RPI_lag12,0.21071058713641727,0.07374873393044332,7
INDPRO_lag12,0.10450273588065691,0.05090704913630663,7
SP500_lag12,0.09295801998056909,0.007190706598587569,7
CPIAUCSL_lag12,0.07367002109616673,0.041189936191561555,7
BUSLOANS_lag12,0.06131890458254822,0.019001998683325926,7
M2SL_lag12,0.03619490286858503,0.033401832172311,7
USREC_lag12,0.01916721114253614,0.0019372338562270574,7
TB3MS_lag12,0.004115248465483788,0.00041397879027378734,7
OILPRICEX_lag12,0.00363854393979911,0.0008931956975893998,7
