feature,shap_share_mean,shap_share_std,n_windows
CPIAUCSL_lag36,0.42824577157456983,0.02658056179061426,7
RPI_lag36,0.26969522835713466,0.03261607792112442,7
DPCERA3M086SBEA_lag36,0.11099654181268025,0.06617954628290444,7
M2SL_lag36,0.07331004933605907,0.03389174152766755,7
BUSLOANS_lag36,0.06759283055546068,0.028193097033706777,7
INDPRO_lag36,0.023894781188501243,0.010682236205054025,7
USREC_lag36,0.017130936746489567,0.0026793670932872553,7
SP500_lag36,0.005205347502172851,0.003965217116068895,7
OILPRICEX_lag36,0.002558859183519758,0.002532833934638007,7
TB3MS_lag36,0.001369653743412103,0.0007094136510247,7
