unique_id,model_label,model_name,partition,mae,coverage,width,n,perm_mae_top1_feature,perm_mae_top1,perm_dev_top1_feature,perm_dev_top1,shap_share_top1_feature,shap_share_top1
UNRATE,LGBM,LGBM,1990-1999,0.43486495006335796,0.7916666666666666,1.5610720068649206,120,INDPRO_lag12,1.070522979308481,INDPRO_lag12,1.1354239565645525,INDPRO_lag12,0.1959162132334069
UNRATE,RIDGE,RIDGE,1990-1999,0.48328819880602764,0.7666666666666667,1.5988086332585347,120,TB3MS_lag12,1.0321109000055173,TB3MS_lag12,1.064543773398281,SP500_lag12,0.35357758430692615
UNRATE,LGBM,LGBM,2000-2008,0.5176395204667088,0.6296296296296297,1.2867019441480312,108,OILPRICEX_lag12,1.0042702271271642,OILPRICEX_lag12,1.001853499603849,INDPRO_lag12,0.19918813565616958
UNRATE,LR,LR,2000-2008,0.5235076389967968,0.6296296296296297,1.3344179169773969,108,TB3MS_lag12,1.0732876377661098,TB3MS_lag12,1.1307485927905863,DPCERA3M086SBEA_lag12,0.4055020831234063
UNRATE,RIDGE,RIDGE,2009-2019,0.6400689919769663,0.8106060606060606,2.3127532152020995,132,USREC_lag12,1.1594069398649827,USREC_lag12,1.2219654031865996,SP500_lag12,0.32349583333218557
UNRATE,LR,LR,2009-2019,0.6529289570329454,0.8106060606060606,2.452590589140468,132,USREC_lag12,1.1011693719966194,TB3MS_lag12,1.0196427739277547,DPCERA3M086SBEA_lag12,0.4427824323336338
UNRATE,LGBM,LGBM,2020-end,1.7901253782662736,0.7647058823529411,6.739885273069566,68,INDPRO_lag12,1.004724459769264,CPIAUCSL_lag12,1.0,SP500_lag12,0.2054685294714688
UNRATE,RIDGE,RIDGE,2020-end,2.0130005031074543,0.75,6.984154950343479,68,TB3MS_lag12,1.0043840056563615,TB3MS_lag12,1.00596463001642,SP500_lag12,0.321457489369114
UNRATE,LGBM,LGBM,ALL,0.7618649335497315,0.75,2.574809494579186,428,USREC_lag12,1.0326360285807104,RPI_lag12,1.0425772317160984,SP500_lag12,0.20071339601406724
UNRATE,RIDGE,RIDGE,ALL,0.798988782085009,0.75,2.6257760059719435,428,USREC_lag12,1.0645838345984397,USREC_lag12,1.1010448833991204,SP500_lag12,0.33228797028389456
