feature,ratio_mean,ratio_std,n_windows
OILPRICEX_lag12,1.0042702271271642,0.004270227127164183,2
BUSLOANS_lag12,1.0026086511109156,0.002608651110915572,2
CPIAUCSL_lag12,0.9976362769106488,0.002363723089351122,2
M2SL_lag12,0.9936433576128356,0.00635664238716438,2
TB3MS_lag12,0.993220876316564,0.006779123683436028,2
RPI_lag12,0.9866309727694038,0.013369027230596242,2
USREC_lag12,0.9810613650360263,0.02412232314330165,2
INDPRO_lag12,0.9678216318535087,0.010339257139984181,2
DPCERA3M086SBEA_lag12,0.9578077574171511,0.008229207199677069,2
SP500_lag12,0.9464905984843812,0.00618923006591715,2
