feature,shap_share_mean,shap_share_std,n_windows
UNRATE_lag36,0.4871345029239766,0.3626570361246133,3
CPIAUCSL_lag36,0.10760233918128655,0.08235446429138689,3
BUSLOANS_lag36,0.08748538011695906,0.06356356612245105,3
TB3MS_lag36,0.0808187134502924,0.061518911327117724,3
M2SL_lag36,0.05812865497076023,0.041105412497159995,3
DPCERA3M086SBEA_lag36,0.05146198830409356,0.0373903330132065,3
RPI_lag36,0.04491228070175438,0.03212906157869488,3
SP500_lag36,0.030584795321637426,0.02335215937241654,3
OILPRICEX_lag36,0.02947368421052632,0.022132165936869935,3
INDPRO_lag36,0.020175438596491225,0.018076703527571614,3
USREC_lag36,0.0022222222222222222,0.0031426968052735453,3
