feature,LINREG | βˢ,LINREG | p-value,LINREG | sig,LINREG | Γˢ
UNRATE_lag12,-0.4116803238011639,0.004166188014220689,***,0.29313844477582585
SP500,0.6326455380522208,0.003982917136975496,***,0.22248507407555299
DPCERA3M086SBEA,1.1860110397031416,0.05326425657069989,*,0.10206699293945239
INDPRO,2.075088471490567,0.04465624231931063,**,0.09080496221596687
USREC,-2.136105994525133,0.027556724409317557,**,0.07239064136028825
TB3MS,-0.6265109378880103,0.5081856667980046,,0.05926293604780211
BUSLOANS,2.1080473191119378,0.05491750034429241,*,0.047297440016543374
RPI,-0.3355871164686902,0.8376239878618554,,0.041253588948527715
OILPRICEX,4.826880664058942,0.012150432825617218,**,0.03759004510006433
CPIAUCSL,6.178557335845836,0.24385626965308416,,0.020939210963348772
M2SL,9.731747970782537,0.0416378167867452,**,0.012770663556627425
