feature,shap_share_mean,shap_share_std,n_windows
UNRATE_lag12,0.21021514371102376,0.04810248579329293,7
INDPRO_lag12,0.18101861359843446,0.08159936925952506,7
SP500_lag12,0.16146197061161402,0.03623389780303093,7
DPCERA3M086SBEA_lag12,0.10748809319338873,0.05614664459549351,7
TB3MS_lag12,0.08049971349136763,0.05481207342049677,7
USREC_lag12,0.06754966697296598,0.04247590644936647,7
BUSLOANS_lag12,0.0553107325965684,0.03826917004194876,7
RPI_lag12,0.043035796380274716,0.023461193648250372,7
OILPRICEX_lag12,0.03637108959501858,0.023823190798786694,7
CPIAUCSL_lag12,0.034851179109711986,0.05280211030595965,7
M2SL_lag12,0.022198000739631733,0.015450449438019147,7
