feature,shap_share_mean,shap_share_std,n_windows
UNRATE_lag12,0.21532940120731706,0.04453353723946224,12
SP500_lag12,0.15354194148561648,0.03428427339481402,12
INDPRO_lag12,0.1533483283815927,0.07095967175832547,12
DPCERA3M086SBEA_lag12,0.10156663592309378,0.046191850152713786,12
TB3MS_lag12,0.09573180686523632,0.04676136645401883,12
BUSLOANS_lag12,0.07742712356549232,0.039563182999199545,12
USREC_lag12,0.057193570509643875,0.037413001776725165,12
OILPRICEX_lag12,0.05032994410773247,0.02981264135130314,12
RPI_lag12,0.0391438126639073,0.02333741695406737,12
CPIAUCSL_lag12,0.02875184029626816,0.04295297910458532,12
M2SL_lag12,0.027635594994099597,0.01770177215177062,12
