feature,shap_share_mean,shap_share_std,n_windows
SP500_lag12,0.27568019343536476,0.08238110394194641,4
USREC_lag12,0.2631048538366549,0.18550391953332163,4
DPCERA3M086SBEA_lag12,0.12324754645854667,0.07869008759372567,4
INDPRO_lag12,0.11970049907398586,0.0634595570377274,4
RPI_lag12,0.08133389747789421,0.04816110202433388,4
BUSLOANS_lag12,0.05400960644199903,0.03184591962879149,4
TB3MS_lag12,0.030901551271917863,0.022430027359376995,4
UNRATE_lag12,0.025098987886885995,0.019652856397164978,4
OILPRICEX_lag12,0.01290090750270005,0.008316620802116296,4
CPIAUCSL_lag12,0.007586620056931337,0.006172793728532178,4
M2SL_lag12,0.00643533655711941,0.007725630522384124,4
